convo_id,user,line_id,line,K1,K2,K3,K4,K5,K6,K7,K8,primary,secondary
conv1,P15,1614,（聽說是個帥哥喔？,1,0,0,0,0,0,0,0,K1,
conv1,P8,1615,"""赤语"" 快看今天的圖",0,0,0,0,0,0,0,1,K8,
conv1,R1,1616,不要再幫他畫眉毛了,0,0,0,0,0,0,0,1,K8,
conv1,R1,1617,RRRR,0,0,0,0,0,0,0,1,K8,
conv1,P8,1618,好好笑應該是站姊修的圖?,0,0,0,0,1,1,0,0,K6,K5
conv1,P6,1619,這誰啦,1,0,0,0,0,0,0,0,K1,
conv1,R1,1620,有壺欸,0,1,0,0,0,0,0,0,K2,
conv1,P14,1621,男主消失一個月 是在操作股票 操作失敗後心情沮喪,0,0,0,0,0,0,0,1,K8,
conv1,P14,1622,還有啥細節嗎,1,0,0,0,0,0,0,0,K1,
conv1,P2,1623,為什麼有一米八 獨自一人在頻道裡待了一天一夜,1,1,0,0,0,0,0,0,K1,K2
conv1,P2,1624,哦 跑了,0,0,0,0,0,0,0,1,K8,
conv1,P2,1625,又看了一集,0,0,0,0,0,0,0,1,K8,
conv1,P2,1626,一米八故地重遊 是不是有心事,0,0,0,0,1,0,0,0,K5,
conv1,P2,1627,你看錯了 不是我,0,0,0,0,1,0,0,0,K5,
conv1,P18,1628,甚麼時候也帶我上上榜,0,0,0,1,0,0,0,0,K4,
conv1,P18,1629,我上次上競速好像是上賽年不知道甚麼時候的事情,0,0,0,1,0,0,0,0,K4,
conv1,P2,1630,"""羈鳥戀小喵"" 你一展肩寬 整個競速榜都是你",0,0,0,0,0,0,0,1,K8,
conv1,P16,1631,對唷,0,0,0,0,0,0,0,1,K8,
conv1,P2,1632,好耶 沒有我 可以睡覺了,0,0,0,1,0,0,0,0,K4,
conv1,R1,1633,逆水寒敢不敢羽毛掉我身上,0,0,0,1,0,0,0,0,K4,
conv1,P2,1634,包不敢的,0,0,0,0,0,0,0,1,K8,
conv1,P2,1635,怕你太強,0,0,0,0,0,0,0,1,K8,
conv1,P14,1636,有人要打2點緝盜嗎,0,0,1,0,0,0,0,0,K3,
conv1,P4,1637,又罵我,0,0,0,1,0,0,0,0,K4,
conv1,P16,1638,欠罵,0,0,0,0,0,0,0,1,K8,
conv1,P4,1639,可惡的香菜,0,0,0,0,0,1,0,0,K6,
conv1,P16,1640,要不是不能講髒東西 我一定罵你,0,0,0,0,1,0,0,0,K5,
conv1,P15,1641,好想看喔,0,0,0,0,0,0,0,1,K8,
conv1,P12,1642,勞資沒有年終沒有年假 你問我這問題是要逼我離職,0,0,0,1,0,0,0,0,K4,
