convo_id,user,line_id,line,K1,K2,K3,K4,K5,K6,K7,K8,primary,secondary
conv1,P15,1113,"如果我今天又跳繩跳到摔倒， ""雨繧（鹹魚秒傷19九靈）"" 你不要生氣",0,0,0,0,0,0,0,1,K8,
conv1,P8,1114,我哪有生氣,0,0,0,1,0,0,0,0,K4,
conv1,P8,1115,有人造謠,0,0,0,0,0,0,0,1,K8,
conv1,P6,1116,不是怎麼又有我的事了,1,0,0,0,1,0,0,0,K1,K5
conv1,P8,1117,而且我也以為你在說海豹,0,0,0,1,0,0,0,0,K4,
conv1,P13,1118,從不生氣,0,0,0,0,0,0,0,1,K8,
conv1,P15,1119,我..不好說的太明顯,0,0,0,1,0,0,0,0,K4,
conv1,P15,1120,套一句海豹的話,0,0,0,1,0,0,0,0,K4,
conv1,P15,1121,在射手手面前 大家都很暴躁,0,0,0,0,0,0,0,1,K8,
conv1,P8,1122,我明明很不暴躁,0,0,0,1,0,0,0,0,K4,
conv1,P8,1123,你今天晚餐要吃這個嗎,1,0,0,0,0,0,0,0,K1,
conv1,P3,1124,我覺得雙醬比較好吃,0,0,0,1,0,0,0,0,K4,
conv1,P6,1125,鹹魚很暴躁,0,0,0,0,0,0,0,1,K8,
conv1,P2,1126,我覺得你在污衊,0,0,0,1,0,0,0,0,K4,
